ILASP_TASK_FILENAME;SEMANTICS;P_PARTIAL;NOISE;RATIO_CONFIG;NFILES_POS;NFILES_NEG;ITERATION;ILASP_TRAIN_SUCCEEDED;LEARNED_MODEL_FILENAME;TEST_FULL_SET_POS;TEST_FULL_SET_NEG;TP_FULL;FP_FULL;TN_FULL;FN_FULL;MCC_FULL;HARD_NEG_COUNT;FP_HARD;TN_HARD;MCC_HARD;ACCURACY_HARD;HARD_EVAL_SECONDS
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos60_20260705_181553/ADM_partial_0.5/ilasp_task_iter_4_pos_12_neg_8_noise_0_1.las;ADM;0.5;0.1;60pos;12;8;4;1;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos60_20260705_181553/ADM_partial_0.5/ilasp_task_iter_4_pos_12_neg_8_noise_0_1.lp;100;100;78;0;100;22;0.7995900589021114;100;0;100;0.7995900589021114;0.89;0.2459
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos60_20260705_181553/ADM_partial_0.5/ilasp_task_iter_4_pos_24_neg_16_noise_0_1.las;ADM;0.5;0.1;60pos;24;16;4;1;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos60_20260705_181553/ADM_partial_0.5/ilasp_task_iter_4_pos_24_neg_16_noise_0_1.lp;100;100;62;2;98;38;0.6431196942844082;100;13;87;0.5060698239044359;0.745;0.2416
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos60_20260705_181553/ADM_partial_0.5/ilasp_task_iter_4_pos_36_neg_24_noise_0_1.las;ADM;0.5;0.1;60pos;36;24;4;1;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos60_20260705_181553/ADM_partial_0.5/ilasp_task_iter_4_pos_36_neg_24_noise_0_1.lp;100;100;79;12;88;21;0.6727300965773808;100;16;84;0.6307889796454161;0.815;0.2616
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos60_20260705_181553/ADM_partial_0.5/ilasp_task_iter_4_pos_48_neg_32_noise_0_1.las;ADM;0.5;0.1;60pos;48;32;4;1;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos60_20260705_181553/ADM_partial_0.5/ilasp_task_iter_4_pos_48_neg_32_noise_0_1.lp;100;100;100;0;100;0;1.0;100;0;100;1.0;1.0;0.2465
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos60_20260705_181553/ADM_partial_0.5/ilasp_task_iter_4_pos_72_neg_48_noise_0_1.las;ADM;0.5;0.1;60pos;72;48;4;1;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos60_20260705_181553/ADM_partial_0.5/ilasp_task_iter_4_pos_72_neg_48_noise_0_1.lp;100;100;100;1;99;0;0.9900495037128093;100;5;95;0.9511897312113418;0.975;0.2525
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos60_20260705_181553/ADM_partial_0.5/ilasp_task_iter_4_pos_96_neg_64_noise_0_1.las;ADM;0.5;0.1;60pos;96;64;4;0;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos60_20260705_181553/ADM_partial_0.5/ilasp_task_iter_4_pos_96_neg_64_noise_0_1.lp;100;100;0;0;0;0;0.0;;;;;;
