ILASP_TASK_FILENAME;NFILES_POS;NFILES_NEG;NOISE;NEGATIVE_POLICY;NEGATIVE_FLIP_K;P_PARTIAL;TEST_SET_POLICY;TEST_SET_TARGET_PER_CLASS;TEST_SET_POS;TEST_SET_NEG;TEST_SET_SIZE;EVAL_MATCH_POLICY;RUNNING_TIME_ILASP_TRAIN_SECONDS;TEST_LEARNED_TOTAL_SECONDS;TEST_LEARNED_MEAN_SECONDS;TEST_LEARNED_MAX_SECONDS;TEST_ORACLE_TOTAL_SECONDS;TEST_ORACLE_MEAN_SECONDS;TEST_ORACLE_MAX_SECONDS;ANY_TEST_TIMED_OUT;ILASP_TRAIN_TIMED_OUT;ILASP_TRAIN_SUCCEEDED;ILASP_TRAIN_EXIT_CODE;ILASP_TRAIN_RETRIES_USED;TRAIN_TIMEOUT_SECONDS;TEST_TIMEOUT_SECONDS;LEARNED_MODEL_FILENAME;LEARNED_HEURISTIC_RULES;LEARNED_HAS_HEURISTIC;SYNTH_NEG_TOTAL;SYNTH_NEG_ORACLE_LEGAL;SYNTH_NEG_ORACLE_LEGAL_RATE;SYNTH_NEG_ORACLE_REJECT_RATE;TP;FP;TN;FN;PRECISION;RECALL;F1;MCC;ACCURACY;RUN_SEED;ITERATION;TEST_FULL_SET_POS;TEST_FULL_SET_NEG;TP_FULL;FP_FULL;TN_FULL;FN_FULL;MCC_FULL;ACCURACY_FULL;TEST_FULL_TOTAL_SECONDS;ILASP_TRAIN_UNSAT;ILASP_TRAIN_ERROR
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos40_20260706_164632/ADM_full/ilasp_task_iter_5_pos_8_neg_12_noise_0_2.las;8;12;0.2;oracle_neg;1;1.0;grouped_kfold;100;100;100;200;full_exact_model;23.09240633299987;0.232710290997602;0.00116355145498801;0.0016973340002550685;0.12708520100250098;0.0006354260050125049;0.0007538750001003791;0;0;1;0;0;3500;20;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos40_20260706_164632/ADM_full/ilasp_task_iter_5_pos_8_neg_12_noise_0_2.lp;0;0;0;0;0.0;0.0;100;36;64;0;0.7352941176470589;1.0;0.8474576271186441;0.6859943405700354;0.82;8346696905189943268;5;100;100;100;36;64;0;0.6859943405700354;0.82;0.0;0;0
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos40_20260706_164632/ADM_full/ilasp_task_iter_5_pos_16_neg_24_noise_0_2.las;16;24;0.2;oracle_neg;1;1.0;grouped_kfold;100;100;100;200;full_exact_model;57.38216204199989;0.20157774899962533;0.0010078887449981267;0.0015945420000207378;0.1250079939995885;0.0006250399699979425;0.0007669999999961874;0;0;1;0;0;3500;20;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos40_20260706_164632/ADM_full/ilasp_task_iter_5_pos_16_neg_24_noise_0_2.lp;0;0;0;0;0.0;0.0;100;0;100;0;1.0;1.0;1.0;1.0;1.0;1809784989999564012;5;100;100;100;0;100;0;1.0;1.0;0.0;0;0
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos40_20260706_164632/ADM_full/ilasp_task_iter_5_pos_24_neg_36_noise_0_2.las;24;36;0.2;oracle_neg;1;1.0;grouped_kfold;100;100;100;200;full_exact_model;66.84522354199999;0.2418615320052595;0.0012093076600262975;0.0025149170000986487;0.1324632930009102;0.000662316465004551;0.0013577089998761949;0;0;1;0;0;3500;20;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos40_20260706_164632/ADM_full/ilasp_task_iter_5_pos_24_neg_36_noise_0_2.lp;0;0;0;0;0.0;0.0;100;1;99;0;0.9900990099009901;1.0;0.9950248756218906;0.9900495037128093;0.995;322692317672084591;5;100;100;100;1;99;0;0.9900495037128093;0.995;0.0;0;0
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos40_20260706_164632/ADM_full/ilasp_task_iter_5_pos_32_neg_48_noise_0_2.las;32;48;0.2;oracle_neg;1;1.0;grouped_kfold;100;100;100;200;full_exact_model;86.6444817079996;0.2713647089949518;0.001356823544974759;0.0028451250000216532;0.1484311319977678;0.0007421556599888391;0.001195124999867403;0;0;1;0;0;3500;20;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos40_20260706_164632/ADM_full/ilasp_task_iter_5_pos_32_neg_48_noise_0_2.lp;0;0;0;0;0.0;0.0;73;12;88;27;0.8588235294117647;0.73;0.7891891891891891;0.6169805196574918;0.805;1728681867148164656;5;100;100;73;12;88;27;0.6169805196574918;0.805;0.0;0;0
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos40_20260706_164632/ADM_full/ilasp_task_iter_5_pos_48_neg_72_noise_0_2.las;48;72;0.2;oracle_neg;1;1.0;grouped_kfold;100;100;100;200;full_exact_model;114.58243812499995;0.248100408002756;0.0012405020400137801;0.0028596659999493568;0.13470137699778206;0.0006735068849889103;0.0013452080002025468;0;0;1;0;0;3500;20;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos40_20260706_164632/ADM_full/ilasp_task_iter_5_pos_48_neg_72_noise_0_2.lp;0;0;0;0;0.0;0.0;100;3;97;0;0.970873786407767;1.0;0.9852216748768473;0.9704367948586523;0.985;14343040430429362935;5;100;100;100;3;97;0;0.9704367948586523;0.985;0.0;0;0
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos40_20260706_164632/ADM_full/ilasp_task_iter_5_pos_64_neg_96_noise_0_2.las;64;96;0.2;oracle_neg;1;1.0;grouped_kfold;100;100;100;200;full_exact_model;191.54561237500002;0.2653937920008502;0.0013269689600042512;0.0026412500001242734;0.13839824599654094;0.0006919912299827046;0.0013450829997054825;0;0;1;0;0;3500;20;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos40_20260706_164632/ADM_full/ilasp_task_iter_5_pos_64_neg_96_noise_0_2.lp;0;0;0;0;0.0;0.0;100;15;85;0;0.8695652173913043;1.0;0.9302325581395349;0.8597269536210952;0.925;5377837323432858115;5;100;100;100;15;85;0;0.8597269536210952;0.925;0.0;0;0
