SEMANTICS;P_PARTIAL;NOISE;RATIO_CONFIG;NFILES_POS;N_RUNS;MEAN_MCC_FULL;MEAN_MCC_HARD;MEAN_DELTA
ADM;0.75;0.2;1;20;5;0.7252;0.6421;-0.0832
ADM;0.75;0.2;1;30;5;0.7048;0.6495;-0.0553
ADM;0.75;0.2;1;40;5;0.9842;0.9409;-0.0433
ADM;0.75;0.2;1;60;5;0.9709;0.9728;+0.0020
ADM;0.75;0.2;1;80;5;0.9354;0.8691;-0.0663
ADM;0.75;0.2;40pos;16;5;0.6120;0.6231;+0.0111
ADM;0.75;0.2;40pos;24;5;0.7468;0.7517;+0.0049
ADM;0.75;0.2;40pos;32;5;0.8036;0.7686;-0.0350
ADM;0.75;0.2;40pos;48;5;0.7911;0.7725;-0.0186
ADM;0.75;0.2;40pos;64;5;0.9440;0.9346;-0.0094
ADM;0.75;0.2;40pos;8;5;0.6266;0.6035;-0.0230
ADM;0.75;0.2;60pos;12;5;0.7464;0.6837;-0.0627
ADM;0.75;0.2;60pos;24;5;0.7295;0.6527;-0.0768
ADM;0.75;0.2;60pos;36;5;0.8387;0.7665;-0.0722
ADM;0.75;0.2;60pos;48;5;0.8927;0.8749;-0.0178
ADM;0.75;0.2;60pos;72;5;0.9029;0.9119;+0.0091
ADM;0.75;0.2;60pos;96;5;0.9410;0.8908;-0.0502
ADM;1.0;0.0;1;10;5;0.9594;0.9093;-0.0500
ADM;1.0;0.0;1;20;5;0.9980;0.9737;-0.0243
ADM;1.0;0.0;1;30;5;0.9863;0.9370;-0.0493
ADM;1.0;0.0;1;40;5;1.0000;1.0000;+0.0000
ADM;1.0;0.0;1;60;5;1.0000;1.0000;+0.0000
ADM;1.0;0.0;1;80;5;1.0000;1.0000;+0.0000
ADM;1.0;0.0;40pos;16;5;0.9737;0.9500;-0.0237
ADM;1.0;0.0;40pos;24;5;0.9863;0.9370;-0.0493
ADM;1.0;0.0;40pos;32;5;1.0000;1.0000;+0.0000
ADM;1.0;0.0;40pos;48;5;1.0000;1.0000;+0.0000
ADM;1.0;0.0;40pos;64;5;1.0000;1.0000;+0.0000
ADM;1.0;0.0;40pos;8;5;0.9618;0.8790;-0.0829
ADM;1.0;0.0;60pos;12;5;0.9496;0.8743;-0.0753
ADM;1.0;0.0;60pos;24;5;0.9709;0.9003;-0.0706
ADM;1.0;0.0;60pos;36;5;0.9883;0.9633;-0.0250
