ILASP_TASK_FILENAME;NFILES_POS;NFILES_NEG;NOISE;NEGATIVE_POLICY;NEGATIVE_FLIP_K;P_PARTIAL;TEST_SET_POLICY;TEST_SET_TARGET_PER_CLASS;TEST_SET_POS;TEST_SET_NEG;TEST_SET_SIZE;EVAL_MATCH_POLICY;RUNNING_TIME_ILASP_TRAIN_SECONDS;TEST_LEARNED_TOTAL_SECONDS;TEST_LEARNED_MEAN_SECONDS;TEST_LEARNED_MAX_SECONDS;TEST_ORACLE_TOTAL_SECONDS;TEST_ORACLE_MEAN_SECONDS;TEST_ORACLE_MAX_SECONDS;ANY_TEST_TIMED_OUT;ILASP_TRAIN_TIMED_OUT;ILASP_TRAIN_SUCCEEDED;ILASP_TRAIN_EXIT_CODE;ILASP_TRAIN_RETRIES_USED;TRAIN_TIMEOUT_SECONDS;TEST_TIMEOUT_SECONDS;LEARNED_MODEL_FILENAME;LEARNED_HEURISTIC_RULES;LEARNED_HAS_HEURISTIC;SYNTH_NEG_TOTAL;SYNTH_NEG_ORACLE_LEGAL;SYNTH_NEG_ORACLE_LEGAL_RATE;SYNTH_NEG_ORACLE_REJECT_RATE;TP;FP;TN;FN;PRECISION;RECALL;F1;MCC;ACCURACY;RUN_SEED;ITERATION;TEST_FULL_SET_POS;TEST_FULL_SET_NEG;TP_FULL;FP_FULL;TN_FULL;FN_FULL;MCC_FULL;ACCURACY_FULL;TEST_FULL_TOTAL_SECONDS;ILASP_TRAIN_UNSAT;ILASP_TRAIN_ERROR
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/grd_appendix_run/dense/train/GRD_full/ilasp_task_iter_4_pos_10_neg_10_noise_0.las;10;10;0.0;oracle_neg;1;1.0;grouped_kfold;50;50;50;100;full_exact_model;1.9290705830208026;0.08716599602485076;0.0008716599602485076;0.0013264580047689378;0.06097387915360741;0.0006097387915360742;0.0007952500018291175;0;0;1;0;0;600;20;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/grd_appendix_run/dense/train_output/GRD_full/ilasp_task_iter_4_pos_10_neg_10_noise_0.lp;0;0;0;0;0.0;0.0;100;0;0;0;1.0;1.0;1.0;0.0;1.0;18398510065147746104;4;50;50;100;0;0;0;0.0;1.0;0.0;0;0
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/grd_appendix_run/dense/train/GRD_full/ilasp_task_iter_4_pos_20_neg_20_noise_0.las;20;20;0.0;oracle_neg;1;1.0;grouped_kfold;50;50;50;100;full_exact_model;1.8733244169852696;0.08712187421042472;0.0008712187421042472;0.0013000420003663749;0.060873294074553996;0.0006087329407455399;0.0008388750138692558;0;0;1;0;0;600;20;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/grd_appendix_run/dense/train_output/GRD_full/ilasp_task_iter_4_pos_20_neg_20_noise_0.lp;0;0;0;0;0.0;0.0;100;0;0;0;1.0;1.0;1.0;0.0;1.0;9679063540056041699;4;50;50;100;0;0;0;0.0;1.0;0.0;0;0
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/grd_appendix_run/dense/train/GRD_full/ilasp_task_iter_4_pos_40_neg_40_noise_0.las;40;40;0.0;oracle_neg;1;1.0;grouped_kfold;50;50;50;100;full_exact_model;1.4287389580276795;0.08873371395748109;0.0008873371395748109;0.0013147919962648302;0.06179366708965972;0.0006179366708965972;0.0008832079765852541;0;0;1;0;0;600;20;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/grd_appendix_run/dense/train_output/GRD_full/ilasp_task_iter_4_pos_40_neg_40_noise_0.lp;0;0;0;0;0.0;0.0;100;0;0;0;1.0;1.0;1.0;0.0;1.0;15552849671227371985;4;50;50;100;0;0;0;0.0;1.0;0.0;0;0
