semantics,f,p,mcc_full,hyp_id,exact,model_file
ADM,20,1.0,0.8774460122564686,ADM_005,0,artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos40_20260706_164632/ADM_full/ilasp_task_iter_1_pos_8_neg_12_noise_0.lp
ADM,20,1.0,0.9416965821485117,ADM_000,0,artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos40_20260706_164632/ADM_full/ilasp_task_iter_2_pos_8_neg_12_noise_0.lp
ADM,20,1.0,1.0,ADM_002,1,artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos40_20260706_164632/ADM_full/ilasp_task_iter_3_pos_8_neg_12_noise_0.lp
ADM,20,1.0,1.0,ADM_001,1,artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos40_20260706_164632/ADM_full/ilasp_task_iter_4_pos_8_neg_12_noise_0.lp
ADM,20,1.0,0.9900495037128093,ADM_000,0,artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos40_20260706_164632/ADM_full/ilasp_task_iter_5_pos_8_neg_12_noise_0.lp
ADM,20,1.0,1.0,ADM_001,1,artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos50_20260704_112450/ADM_full/ilasp_task_iter_1_pos_10_neg_10_noise_0.lp
ADM,20,1.0,0.9416965821485117,ADM_012,0,artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos50_20260704_112450/ADM_full/ilasp_task_iter_2_pos_10_neg_10_noise_0.lp
ADM,20,1.0,0.932286907826487,ADM_015,0,artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos50_20260704_112450/ADM_full/ilasp_task_iter_3_pos_10_neg_10_noise_0.lp
ADM,20,1.0,0.9229582069908971,ADM_000,0,artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos50_20260704_112450/ADM_full/ilasp_task_iter_4_pos_10_neg_10_noise_0.lp
ADM,20,1.0,1.0,ADM_017,1,artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos50_20260704_112450/ADM_full/ilasp_task_iter_5_pos_10_neg_10_noise_0.lp
ADM,20,1.0,0.9511897312113418,ADM_012,0,artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos60_20260705_181553/ADM_full/ilasp_task_iter_1_pos_12_neg_8_noise_0.lp
ADM,20,1.0,0.9416965821485117,ADM_012,0,artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos60_20260705_181553/ADM_full/ilasp_task_iter_2_pos_12_neg_8_noise_0.lp
ADM,20,1.0,0.932286907826487,ADM_015,0,artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos60_20260705_181553/ADM_full/ilasp_task_iter_3_pos_12_neg_8_noise_0.lp
ADM,20,1.0,0.9229582069908971,ADM_012,0,artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos60_20260705_181553/ADM_full/ilasp_task_iter_4_pos_12_neg_8_noise_0.lp
ADM,20,1.0,1.0,ADM_003,1,artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos60_20260705_181553/ADM_full/ilasp_task_iter_5_pos_12_neg_8_noise_0.lp
ADM,40,0.5,1.0,ADM_010,1,artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos40_20260706_164632/ADM_partial_0.5/ilasp_task_iter_1_pos_16_neg_24_noise_0.lp
ADM,40,0.5,1.0,ADM_010,1,artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos40_20260706_164632/ADM_partial_0.5/ilasp_task_iter_2_pos_16_neg_24_noise_0.lp
ADM,40,0.5,1.0,ADM_009,1,artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos40_20260706_164632/ADM_partial_0.5/ilasp_task_iter_3_pos_16_neg_24_noise_0.lp
ADM,40,0.5,1.0,ADM_010,1,artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos40_20260706_164632/ADM_partial_0.5/ilasp_task_iter_4_pos_16_neg_24_noise_0.lp
ADM,40,0.5,1.0,ADM_007,1,artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos40_20260706_164632/ADM_partial_0.5/ilasp_task_iter_5_pos_16_neg_24_noise_0.lp
ADM,40,0.5,0.9511897312113418,ADM_012,0,artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos50_20260704_112450/ADM_partial_0.5/ilasp_task_iter_1_pos_20_neg_20_noise_0.lp
ADM,40,0.5,0.9416965821485117,ADM_012,0,artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos50_20260704_112450/ADM_partial_0.5/ilasp_task_iter_2_pos_20_neg_20_noise_0.lp
ADM,40,0.5,0.932286907826487,ADM_015,0,artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos50_20260704_112450/ADM_partial_0.5/ilasp_task_iter_3_pos_20_neg_20_noise_0.lp
ADM,40,0.5,0.9229582069908971,ADM_012,0,artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos50_20260704_112450/ADM_partial_0.5/ilasp_task_iter_4_pos_20_neg_20_noise_0.lp
ADM,40,0.5,1.0,ADM_019,1,artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos50_20260704_112450/ADM_partial_0.5/ilasp_task_iter_5_pos_20_neg_20_noise_0.lp
ADM,40,0.5,1.0,ADM_010,1,artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos60_20260705_181553/ADM_partial_0.5/ilasp_task_iter_1_pos_24_neg_16_noise_0.lp
ADM,40,0.5,1.0,ADM_007,1,artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos60_20260705_181553/ADM_partial_0.5/ilasp_task_iter_2_pos_24_neg_16_noise_0.lp
ADM,40,0.5,1.0,ADM_010,1,artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos60_20260705_181553/ADM_partial_0.5/ilasp_task_iter_3_pos_24_neg_16_noise_0.lp
ADM,40,0.5,1.0,ADM_010,1,artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos60_20260705_181553/ADM_partial_0.5/ilasp_task_iter_4_pos_24_neg_16_noise_0.lp
ADM,40,0.5,0.9900495037128093,ADM_015,0,artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos60_20260705_181553/ADM_partial_0.5/ilasp_task_iter_5_pos_24_neg_16_noise_0.lp
ADM,40,0.75,0.9511897312113418,ADM_012,0,artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos40_20260706_164632/ADM_partial_0.75/ilasp_task_iter_1_pos_16_neg_24_noise_0.lp
ADM,40,0.75,1.0,ADM_019,1,artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos40_20260706_164632/ADM_partial_0.75/ilasp_task_iter_2_pos_16_neg_24_noise_0.lp
ADM,40,0.75,1.0,ADM_010,1,artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos40_20260706_164632/ADM_partial_0.75/ilasp_task_iter_3_pos_16_neg_24_noise_0.lp
ADM,40,0.75,0.9229582069908971,ADM_012,0,artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos40_20260706_164632/ADM_partial_0.75/ilasp_task_iter_4_pos_16_neg_24_noise_0.lp
ADM,40,0.75,1.0,ADM_010,1,artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos40_20260706_164632/ADM_partial_0.75/ilasp_task_iter_5_pos_16_neg_24_noise_0.lp
ADM,40,0.75,0.9511897312113418,ADM_012,0,artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos50_20260704_112450/ADM_partial_0.75/ilasp_task_iter_1_pos_20_neg_20_noise_0.lp
ADM,40,0.75,1.0,ADM_013,1,artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos50_20260704_112450/ADM_partial_0.75/ilasp_task_iter_2_pos_20_neg_20_noise_0.lp
ADM,40,0.75,1.0,ADM_002,1,artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos50_20260704_112450/ADM_partial_0.75/ilasp_task_iter_3_pos_20_neg_20_noise_0.lp
ADM,40,0.75,1.0,ADM_017,1,artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos50_20260704_112450/ADM_partial_0.75/ilasp_task_iter_4_pos_20_neg_20_noise_0.lp
ADM,40,0.75,1.0,ADM_006,1,artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos50_20260704_112450/ADM_partial_0.75/ilasp_task_iter_5_pos_20_neg_20_noise_0.lp
ADM,40,0.75,0.9511897312113418,ADM_000,0,artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos60_20260705_181553/ADM_partial_0.75/ilasp_task_iter_1_pos_24_neg_16_noise_0.lp
