ILASP_TASK_FILENAME;SEMANTICS;P_PARTIAL;NOISE;RATIO_CONFIG;NFILES_POS;NFILES_NEG;ITERATION;ILASP_TRAIN_SUCCEEDED;LEARNED_MODEL_FILENAME;TEST_FULL_SET_POS;TEST_FULL_SET_NEG;TP_FULL;FP_FULL;TN_FULL;FN_FULL;MCC_FULL;HARD_NEG_COUNT;FP_HARD;TN_HARD;MCC_HARD;ACCURACY_HARD;HARD_EVAL_SECONDS
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos40_20260706_164632/STB_partial_0.75/ilasp_task_iter_2_pos_8_neg_12_noise_0.las;STB;0.75;0.0;40pos;8;12;2;1;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos40_20260706_164632/STB_partial_0.75/ilasp_task_iter_2_pos_8_neg_12_noise_0.lp;100;100;100;3;97;0;0.9704367948586523;100;24;76;0.7828813612588127;0.88;0.1031
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos40_20260706_164632/STB_partial_0.75/ilasp_task_iter_2_pos_16_neg_24_noise_0.las;STB;0.75;0.0;40pos;16;24;2;1;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos40_20260706_164632/STB_partial_0.75/ilasp_task_iter_2_pos_16_neg_24_noise_0.lp;100;100;100;0;100;0;1.0;100;0;100;1.0;1.0;0.105
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos40_20260706_164632/STB_partial_0.75/ilasp_task_iter_2_pos_24_neg_36_noise_0.las;STB;0.75;0.0;40pos;24;36;2;1;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos40_20260706_164632/STB_partial_0.75/ilasp_task_iter_2_pos_24_neg_36_noise_0.lp;100;100;100;0;100;0;1.0;100;0;100;1.0;1.0;0.1055
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos40_20260706_164632/STB_partial_0.75/ilasp_task_iter_2_pos_32_neg_48_noise_0.las;STB;0.75;0.0;40pos;32;48;2;1;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos40_20260706_164632/STB_partial_0.75/ilasp_task_iter_2_pos_32_neg_48_noise_0.lp;100;100;100;0;100;0;1.0;100;0;100;1.0;1.0;0.1067
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos40_20260706_164632/STB_partial_0.75/ilasp_task_iter_2_pos_48_neg_72_noise_0.las;STB;0.75;0.0;40pos;48;72;2;1;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos40_20260706_164632/STB_partial_0.75/ilasp_task_iter_2_pos_48_neg_72_noise_0.lp;100;100;100;1;99;0;0.9900495037128093;100;9;91;0.9137080416200247;0.955;0.1072
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos40_20260706_164632/STB_partial_0.75/ilasp_task_iter_2_pos_64_neg_96_noise_0.las;STB;0.75;0.0;40pos;64;96;2;1;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos40_20260706_164632/STB_partial_0.75/ilasp_task_iter_2_pos_64_neg_96_noise_0.lp;100;100;100;0;100;0;1.0;100;0;100;1.0;1.0;0.1031
