ILASP_TASK_FILENAME;SEMANTICS;P_PARTIAL;NOISE;RATIO_CONFIG;NFILES_POS;NFILES_NEG;ITERATION;ILASP_TRAIN_SUCCEEDED;LEARNED_MODEL_FILENAME;TEST_FULL_SET_POS;TEST_FULL_SET_NEG;TP_FULL;FP_FULL;TN_FULL;FN_FULL;MCC_FULL;HARD_NEG_COUNT;FP_HARD;TN_HARD;MCC_HARD;ACCURACY_HARD;HARD_EVAL_SECONDS
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos50_20260704_112450/CMP_partial_0.75/ilasp_task_iter_4_pos_10_neg_10_noise_0_1.las;CMP;0.75;0.1;1;10;10;4;1;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos50_20260704_112450/CMP_partial_0.75/ilasp_task_iter_4_pos_10_neg_10_noise_0_1.lp;100;100;100;9;91;0;0.9137080416200247;100;28;72;0.75;0.86;0.3043
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos50_20260704_112450/CMP_partial_0.75/ilasp_task_iter_4_pos_20_neg_20_noise_0_1.las;CMP;0.75;0.1;1;20;20;4;1;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos50_20260704_112450/CMP_partial_0.75/ilasp_task_iter_4_pos_20_neg_20_noise_0_1.lp;100;100;100;6;94;0;0.9416965821485117;100;14;86;0.8685539504902852;0.93;0.3164
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos50_20260704_112450/CMP_partial_0.75/ilasp_task_iter_4_pos_30_neg_30_noise_0_1.las;CMP;0.75;0.1;1;30;30;4;1;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos50_20260704_112450/CMP_partial_0.75/ilasp_task_iter_4_pos_30_neg_30_noise_0_1.lp;100;100;100;9;91;0;0.9137080416200247;100;24;76;0.7828813612588127;0.88;0.2989
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos50_20260704_112450/CMP_partial_0.75/ilasp_task_iter_4_pos_40_neg_40_noise_0_1.las;CMP;0.75;0.1;1;40;40;4;1;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos50_20260704_112450/CMP_partial_0.75/ilasp_task_iter_4_pos_40_neg_40_noise_0_1.lp;100;100;100;0;100;0;1.0;100;0;100;1.0;1.0;0.2776
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos50_20260704_112450/CMP_partial_0.75/ilasp_task_iter_4_pos_60_neg_60_noise_0_1.las;CMP;0.75;0.1;1;60;60;4;1;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos50_20260704_112450/CMP_partial_0.75/ilasp_task_iter_4_pos_60_neg_60_noise_0_1.lp;100;100;100;0;100;0;1.0;100;2;98;0.9801960588196069;0.99;0.343
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos50_20260704_112450/CMP_partial_0.75/ilasp_task_iter_4_pos_80_neg_80_noise_0_1.las;CMP;0.75;0.1;1;80;80;4;1;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos50_20260704_112450/CMP_partial_0.75/ilasp_task_iter_4_pos_80_neg_80_noise_0_1.lp;100;100;100;0;100;0;1.0;100;0;100;1.0;1.0;0.2892
