ILASP_TASK_FILENAME;SEMANTICS;P_PARTIAL;NOISE;RATIO_CONFIG;NFILES_POS;NFILES_NEG;ITERATION;ILASP_TRAIN_SUCCEEDED;LEARNED_MODEL_FILENAME;TEST_FULL_SET_POS;TEST_FULL_SET_NEG;TP_FULL;FP_FULL;TN_FULL;FN_FULL;MCC_FULL;HARD_NEG_COUNT;FP_HARD;TN_HARD;MCC_HARD;ACCURACY_HARD;HARD_EVAL_SECONDS
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos40_20260706_164632/CMP_full/ilasp_task_iter_2_pos_8_neg_12_noise_0_2.las;CMP;1.0;0.2;40pos;8;12;2;1;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos40_20260706_164632/CMP_full/ilasp_task_iter_2_pos_8_neg_12_noise_0_2.lp;100;100;76;0;100;24;0.7828813612588127;100;0;100;0.7828813612588127;0.88;0.2431
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos40_20260706_164632/CMP_full/ilasp_task_iter_2_pos_16_neg_24_noise_0_2.las;CMP;1.0;0.2;40pos;16;24;2;1;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos40_20260706_164632/CMP_full/ilasp_task_iter_2_pos_16_neg_24_noise_0_2.lp;100;100;73;16;84;27;0.5734801140745787;100;34;66;0.3909590258627204;0.695;0.2587
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos40_20260706_164632/CMP_full/ilasp_task_iter_2_pos_24_neg_36_noise_0_2.las;CMP;1.0;0.2;40pos;24;36;2;1;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos40_20260706_164632/CMP_full/ilasp_task_iter_2_pos_24_neg_36_noise_0_2.lp;100;100;100;14;86;0;0.8685539504902852;100;23;77;0.7912118933399583;0.885;0.2471
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos40_20260706_164632/CMP_full/ilasp_task_iter_2_pos_32_neg_48_noise_0_2.las;CMP;1.0;0.2;40pos;32;48;2;1;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos40_20260706_164632/CMP_full/ilasp_task_iter_2_pos_32_neg_48_noise_0_2.lp;100;100;100;4;96;0;0.9607689228305227;100;11;89;0.8954338623269738;0.945;0.2491
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos40_20260706_164632/CMP_full/ilasp_task_iter_2_pos_48_neg_72_noise_0_2.las;CMP;1.0;0.2;40pos;48;72;2;1;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos40_20260706_164632/CMP_full/ilasp_task_iter_2_pos_48_neg_72_noise_0_2.lp;100;100;100;9;91;0;0.9137080416200247;100;21;79;0.8080176743014172;0.895;0.2656
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos40_20260706_164632/CMP_full/ilasp_task_iter_2_pos_64_neg_96_noise_0_2.las;CMP;1.0;0.2;40pos;64;96;2;1;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos40_20260706_164632/CMP_full/ilasp_task_iter_2_pos_64_neg_96_noise_0_2.lp;100;100;100;16;84;0;0.8509629433967631;100;35;65;0.693888666488711;0.825;0.2433
