ILASP_TASK_FILENAME;SEMANTICS;P_PARTIAL;NOISE;RATIO_CONFIG;NFILES_POS;NFILES_NEG;ITERATION;ILASP_TRAIN_SUCCEEDED;LEARNED_MODEL_FILENAME;TEST_FULL_SET_POS;TEST_FULL_SET_NEG;TP_FULL;FP_FULL;TN_FULL;FN_FULL;MCC_FULL;HARD_NEG_COUNT;FP_HARD;TN_HARD;MCC_HARD;ACCURACY_HARD;HARD_EVAL_SECONDS
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos60_20260705_181553/STB_full/ilasp_task_iter_4_pos_12_neg_8_noise_0_1.las;STB;1.0;0.1;60pos;12;8;4;1;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos60_20260705_181553/STB_full/ilasp_task_iter_4_pos_12_neg_8_noise_0_1.lp;100;100;100;14;86;0;0.8685539504902852;100;19;81;0.8250286473253903;0.905;0.1028
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos60_20260705_181553/STB_full/ilasp_task_iter_4_pos_24_neg_16_noise_0_1.las;STB;1.0;0.1;60pos;24;16;4;1;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos60_20260705_181553/STB_full/ilasp_task_iter_4_pos_24_neg_16_noise_0_1.lp;100;100;100;6;94;0;0.9416965821485117;100;37;63;0.6781253679066579;0.815;0.1189
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos60_20260705_181553/STB_full/ilasp_task_iter_4_pos_36_neg_24_noise_0_1.las;STB;1.0;0.1;60pos;36;24;4;1;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos60_20260705_181553/STB_full/ilasp_task_iter_4_pos_36_neg_24_noise_0_1.lp;100;100;100;22;78;0;0.7995900589021114;100;13;87;0.8774460122564686;0.935;0.1236
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos60_20260705_181553/STB_full/ilasp_task_iter_4_pos_48_neg_32_noise_0_1.las;STB;1.0;0.1;60pos;48;32;4;1;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos60_20260705_181553/STB_full/ilasp_task_iter_4_pos_48_neg_32_noise_0_1.lp;100;100;100;0;100;0;1.0;100;7;93;0.932286907826487;0.965;0.1021
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos60_20260705_181553/STB_full/ilasp_task_iter_4_pos_72_neg_48_noise_0_1.las;STB;1.0;0.1;60pos;72;48;4;1;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos60_20260705_181553/STB_full/ilasp_task_iter_4_pos_72_neg_48_noise_0_1.lp;100;100;100;3;97;0;0.9704367948586523;100;3;97;0.9704367948586523;0.985;0.1102
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos60_20260705_181553/STB_full/ilasp_task_iter_4_pos_96_neg_64_noise_0_1.las;STB;1.0;0.1;60pos;96;64;4;1;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos60_20260705_181553/STB_full/ilasp_task_iter_4_pos_96_neg_64_noise_0_1.lp;100;100;100;20;80;0;0.8164965809277261;100;1;99;0.9900495037128093;0.995;0.1109
