,ID,ATTACK,ARGS,EXTENSION
80,p55_versionC,"att(b,a).  att(b,c).  att(b,d).  att(c,b).  att(c,d).  att(d,b).  att(d,c). ",arg(a). arg(b). arg(c). arg(d).,in(a) out(b)
81,p56_versionC,"att(a,b).  att(a,c).  att(a,d).  att(c,a).  att(d,a). ",arg(a). arg(b). arg(c). arg(d).,in(a) out(b)
82,p57_versionC,"att(b,a).  att(c,b).  att(c,d).  att(d,b).  att(d,c). ",arg(a). arg(b). arg(c). arg(d).,out(a) in(b)
83,p58_versionC,"att(a,b).  att(b,a).  att(b,c).  att(b,d).  att(c,a).  att(d,a). ",arg(a). arg(b). arg(c). arg(d).,in(a) in(b) in(c) in(d)
84,p59_versionC,"att(b,d).  att(c,b). ",arg(a). arg(b). arg(c). arg(d).,in(a) out(b) out(c)
85,p5_versionG,"att(b,a).  att(c,b).  att(d,b).  att(d,c).  att(d,e).  att(e,c). ",arg(a). arg(b). arg(c). arg(d). arg(e).,out(a) out(b) out(c) out(d) out(e)
86,p60_versionC,"att(c,b).  att(c,d).  att(d,b).  att(d,c). ",arg(a). arg(b). arg(c). arg(d).,in(a) out(b)
87,p61_versionC,"att(c,b).  att(d,b). ",arg(a). arg(b). arg(c). arg(d).,in(a) out(b)
88,p62_versionC,"att(b,a).  att(c,b).  att(c,d).  att(d,b).  att(d,c). ",arg(a). arg(b). arg(c). arg(d).,in(a) out(b)
89,p63_versionC,"att(b,a).  att(b,c).  att(b,d).  att(c,b).  att(d,b). ",arg(a). arg(b). arg(c). arg(d).,out(a)
90,p64_versionC,"att(b,a).  att(c,b).  att(c,d).  att(d,b).  att(d,c). ",arg(a). arg(b). arg(c). arg(d).,in(a) out(b)
91,p65_versionC,"att(a,b).  att(b,a).  att(c,b).  att(d,b). ",arg(a). arg(b). arg(c). arg(d).,in(a) in(c) in(d)
92,p66_versionC,"att(b,a).  att(b,c).  att(b,d).  att(c,b).  att(c,d).  att(d,a).  att(d,b).  att(d,c). ",arg(a). arg(b). arg(c). arg(d).,in(b)
