ILASP_TASK_FILENAME;SEMANTICS;P_PARTIAL;NOISE;RATIO_CONFIG;NFILES_POS;NFILES_NEG;ITERATION;ILASP_TRAIN_SUCCEEDED;LEARNED_MODEL_FILENAME;TEST_FULL_SET_POS;TEST_FULL_SET_NEG;TP_FULL;FP_FULL;TN_FULL;FN_FULL;MCC_FULL;HARD_NEG_COUNT;FP_HARD;TN_HARD;MCC_HARD;ACCURACY_HARD;HARD_EVAL_SECONDS
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos50_20260704_112450/STB_full/ilasp_task_iter_1_pos_10_neg_10_noise_0_1.las;STB;1.0;0.1;1;10;10;1;1;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos50_20260704_112450/STB_full/ilasp_task_iter_1_pos_10_neg_10_noise_0_1.lp;100;100;100;0;100;0;1.0;100;0;100;1.0;1.0;0.1042
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos50_20260704_112450/STB_full/ilasp_task_iter_1_pos_20_neg_20_noise_0_1.las;STB;1.0;0.1;1;20;20;1;1;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos50_20260704_112450/STB_full/ilasp_task_iter_1_pos_20_neg_20_noise_0_1.lp;100;100;100;16;84;0;0.8509629433967631;100;39;61;0.6624567313140605;0.805;0.1132
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos50_20260704_112450/STB_full/ilasp_task_iter_1_pos_30_neg_30_noise_0_1.las;STB;1.0;0.1;1;30;30;1;1;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos50_20260704_112450/STB_full/ilasp_task_iter_1_pos_30_neg_30_noise_0_1.lp;100;100;100;11;89;0;0.8954338623269738;100;0;100;1.0;1.0;0.1093
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos50_20260704_112450/STB_full/ilasp_task_iter_1_pos_40_neg_40_noise_0_1.las;STB;1.0;0.1;1;40;40;1;1;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos50_20260704_112450/STB_full/ilasp_task_iter_1_pos_40_neg_40_noise_0_1.lp;100;100;100;0;100;0;1.0;100;0;100;1.0;1.0;0.1124
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos50_20260704_112450/STB_full/ilasp_task_iter_1_pos_60_neg_60_noise_0_1.las;STB;1.0;0.1;1;60;60;1;1;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos50_20260704_112450/STB_full/ilasp_task_iter_1_pos_60_neg_60_noise_0_1.lp;100;100;100;5;95;0;0.9511897312113418;100;17;83;0.8422598823413766;0.915;0.115
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos50_20260704_112450/STB_full/ilasp_task_iter_1_pos_80_neg_80_noise_0_1.las;STB;1.0;0.1;1;80;80;1;1;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos50_20260704_112450/STB_full/ilasp_task_iter_1_pos_80_neg_80_noise_0_1.lp;100;100;100;5;95;0;0.9511897312113418;100;8;92;0.9229582069908971;0.96;0.124
