ILASP_TASK_FILENAME;SEMANTICS;P_PARTIAL;NOISE;RATIO_CONFIG;NFILES_POS;NFILES_NEG;ITERATION;ILASP_TRAIN_SUCCEEDED;LEARNED_MODEL_FILENAME;TEST_FULL_SET_POS;TEST_FULL_SET_NEG;TP_FULL;FP_FULL;TN_FULL;FN_FULL;MCC_FULL;HARD_NEG_COUNT;FP_HARD;TN_HARD;MCC_HARD;ACCURACY_HARD;HARD_EVAL_SECONDS
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos50_20260704_112450/CMP_partial_0.75/ilasp_task_iter_2_pos_10_neg_10_noise_0_2.las;CMP;0.75;0.2;1;10;10;2;1;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos50_20260704_112450/CMP_partial_0.75/ilasp_task_iter_2_pos_10_neg_10_noise_0_2.lp;100;100;39;8;92;61;0.3655670544665663;100;18;82;0.2326022161242154;0.605;0.2986
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos50_20260704_112450/CMP_partial_0.75/ilasp_task_iter_2_pos_20_neg_20_noise_0_2.las;CMP;0.75;0.2;1;20;20;2;1;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos50_20260704_112450/CMP_partial_0.75/ilasp_task_iter_2_pos_20_neg_20_noise_0_2.lp;100;100;100;19;81;0;0.8250286473253903;100;25;75;0.7745966692414834;0.875;0.4654
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos50_20260704_112450/CMP_partial_0.75/ilasp_task_iter_2_pos_30_neg_30_noise_0_2.las;CMP;0.75;0.2;1;30;30;2;1;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos50_20260704_112450/CMP_partial_0.75/ilasp_task_iter_2_pos_30_neg_30_noise_0_2.lp;100;100;100;0;100;0;1.0;100;1;99;0.9900495037128093;0.995;0.5097
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos50_20260704_112450/CMP_partial_0.75/ilasp_task_iter_2_pos_40_neg_40_noise_0_2.las;CMP;0.75;0.2;1;40;40;2;1;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos50_20260704_112450/CMP_partial_0.75/ilasp_task_iter_2_pos_40_neg_40_noise_0_2.lp;100;100;100;17;83;0;0.8422598823413766;100;21;79;0.8080176743014172;0.895;0.4626
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos50_20260704_112450/CMP_partial_0.75/ilasp_task_iter_2_pos_60_neg_60_noise_0_2.las;CMP;0.75;0.2;1;60;60;2;1;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos50_20260704_112450/CMP_partial_0.75/ilasp_task_iter_2_pos_60_neg_60_noise_0_2.lp;100;100;100;0;100;0;1.0;100;1;99;0.9900495037128093;0.995;0.4733
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos50_20260704_112450/CMP_partial_0.75/ilasp_task_iter_2_pos_80_neg_80_noise_0_2.las;CMP;0.75;0.2;1;80;80;2;1;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos50_20260704_112450/CMP_partial_0.75/ilasp_task_iter_2_pos_80_neg_80_noise_0_2.lp;100;100;100;0;100;0;1.0;100;0;100;1.0;1.0;0.4064
