ILASP_TASK_FILENAME;NFILES_POS;NFILES_NEG;NOISE;NEGATIVE_POLICY;NEGATIVE_FLIP_K;P_PARTIAL;TEST_SET_POLICY;TEST_SET_TARGET_PER_CLASS;TEST_SET_POS;TEST_SET_NEG;TEST_SET_SIZE;EVAL_MATCH_POLICY;RUNNING_TIME_ILASP_TRAIN_SECONDS;TEST_LEARNED_TOTAL_SECONDS;TEST_LEARNED_MEAN_SECONDS;TEST_LEARNED_MAX_SECONDS;TEST_ORACLE_TOTAL_SECONDS;TEST_ORACLE_MEAN_SECONDS;TEST_ORACLE_MAX_SECONDS;ANY_TEST_TIMED_OUT;ILASP_TRAIN_TIMED_OUT;ILASP_TRAIN_SUCCEEDED;ILASP_TRAIN_EXIT_CODE;ILASP_TRAIN_RETRIES_USED;TRAIN_TIMEOUT_SECONDS;TEST_TIMEOUT_SECONDS;LEARNED_MODEL_FILENAME;LEARNED_HEURISTIC_RULES;LEARNED_HAS_HEURISTIC;SYNTH_NEG_TOTAL;SYNTH_NEG_ORACLE_LEGAL;SYNTH_NEG_ORACLE_LEGAL_RATE;SYNTH_NEG_ORACLE_REJECT_RATE;TP;FP;TN;FN;PRECISION;RECALL;F1;MCC;ACCURACY;RUN_SEED;ITERATION;TEST_FULL_SET_POS;TEST_FULL_SET_NEG;TP_FULL;FP_FULL;TN_FULL;FN_FULL;MCC_FULL;ACCURACY_FULL;TEST_FULL_TOTAL_SECONDS;ILASP_TRAIN_UNSAT;ILASP_TRAIN_ERROR
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos40_20260706_164632/CMP_full/ilasp_task_iter_2_pos_8_neg_12_noise_0_1.las;8;12;0.1;oracle_neg;1;1.0;grouped_kfold;100;100;100;200;full_exact_model;19.110039583000002;0.2885540770000148;0.0014427703850000738;0.004118333000008079;0.19864744599965434;0.0009932372299982716;0.004712791000031302;0;0;1;0;0;3500;20;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos40_20260706_164632/CMP_full/ilasp_task_iter_2_pos_8_neg_12_noise_0_1.lp;0;0;0;0;0.0;0.0;76;11;89;24;0.8735632183908046;0.76;0.8128342245989306;0.6555631126054076;0.825;16833477833551805168;2;100;100;76;11;89;24;0.6555631126054076;0.825;0.0;0;0
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos40_20260706_164632/CMP_full/ilasp_task_iter_2_pos_16_neg_24_noise_0_1.las;16;24;0.1;oracle_neg;1;1.0;grouped_kfold;100;100;100;200;full_exact_model;18.455564917000004;0.20205736800045315;0.0010102868400022657;0.002678583000033541;0.1286311579997914;0.0006431557899989571;0.0011799999999766442;0;0;1;0;0;3500;20;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos40_20260706_164632/CMP_full/ilasp_task_iter_2_pos_16_neg_24_noise_0_1.lp;0;0;0;0;0.0;0.0;100;15;85;0;0.8695652173913043;1.0;0.9302325581395349;0.8597269536210952;0.925;13429900317089660104;2;100;100;100;15;85;0;0.8597269536210952;0.925;0.0;0;0
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos40_20260706_164632/CMP_full/ilasp_task_iter_2_pos_24_neg_36_noise_0_1.las;24;36;0.1;oracle_neg;1;1.0;grouped_kfold;100;100;100;200;full_exact_model;30.66556479100001;0.24137691300001052;0.0012068845650000527;0.0025077909999708936;0.13290383700001485;0.0006645191850000742;0.0010032499999965694;0;0;1;0;0;3500;20;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos40_20260706_164632/CMP_full/ilasp_task_iter_2_pos_24_neg_36_noise_0_1.lp;0;0;0;0;0.0;0.0;100;3;97;0;0.970873786407767;1.0;0.9852216748768473;0.9704367948586523;0.985;5766186638007012284;2;100;100;100;3;97;0;0.9704367948586523;0.985;0.0;0;0
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos40_20260706_164632/CMP_full/ilasp_task_iter_2_pos_32_neg_48_noise_0_1.las;32;48;0.1;oracle_neg;1;1.0;grouped_kfold;100;100;100;200;full_exact_model;51.56139679200004;0.25764775199979795;0.0012882387599989897;0.002970875000016804;0.13786129500056177;0.0006893064750028089;0.001369791999991321;0;0;1;0;0;3500;20;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos40_20260706_164632/CMP_full/ilasp_task_iter_2_pos_32_neg_48_noise_0_1.lp;0;0;0;0;0.0;0.0;100;2;98;0;0.9803921568627451;1.0;0.99009900990099;0.9801960588196069;0.99;10236524445885047673;2;100;100;100;2;98;0;0.9801960588196069;0.99;0.0;0;0
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos40_20260706_164632/CMP_full/ilasp_task_iter_2_pos_48_neg_72_noise_0_1.las;48;72;0.1;oracle_neg;1;1.0;grouped_kfold;100;100;100;200;full_exact_model;83.22756833300002;0.24250142599930768;0.0012125071299965385;0.002598667000029309;0.1344682089992375;0.0006723410449961876;0.0014497920000167142;0;0;1;0;0;3500;20;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos40_20260706_164632/CMP_full/ilasp_task_iter_2_pos_48_neg_72_noise_0_1.lp;0;0;0;0;0.0;0.0;100;3;97;0;0.970873786407767;1.0;0.9852216748768473;0.9704367948586523;0.985;6890617993111773683;2;100;100;100;3;97;0;0.9704367948586523;0.985;0.0;0;0
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos40_20260706_164632/CMP_full/ilasp_task_iter_2_pos_64_neg_96_noise_0_1.las;64;96;0.1;oracle_neg;1;1.0;grouped_kfold;100;100;100;200;full_exact_model;93.38309100000004;0.25675998899953356;0.0012837999449976678;0.0027931660000604097;0.13688511800091874;0.0006844255900045937;0.0010425000000395812;0;0;1;0;0;3500;20;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos40_20260706_164632/CMP_full/ilasp_task_iter_2_pos_64_neg_96_noise_0_1.lp;0;0;0;0;0.0;0.0;100;2;98;0;0.9803921568627451;1.0;0.99009900990099;0.9801960588196069;0.99;2495511154416108389;2;100;100;100;2;98;0;0.9801960588196069;0.99;0.0;0;0
