ILASP_TASK_FILENAME;SEMANTICS;P_PARTIAL;NOISE;RATIO_CONFIG;NFILES_POS;NFILES_NEG;ITERATION;ILASP_TRAIN_SUCCEEDED;LEARNED_MODEL_FILENAME;TEST_FULL_SET_POS;TEST_FULL_SET_NEG;TP_FULL;FP_FULL;TN_FULL;FN_FULL;MCC_FULL;HARD_NEG_COUNT;FP_HARD;TN_HARD;MCC_HARD;ACCURACY_HARD;HARD_EVAL_SECONDS
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos50_20260704_112450/CMP_partial_0.5/ilasp_task_iter_2_pos_10_neg_10_noise_0_1.las;CMP;0.5;0.1;1;10;10;2;1;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos50_20260704_112450/CMP_partial_0.5/ilasp_task_iter_2_pos_10_neg_10_noise_0_1.lp;100;100;39;3;97;61;0.44192575452621263;100;7;93;0.38019876521740603;0.66;0.2549
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos50_20260704_112450/CMP_partial_0.5/ilasp_task_iter_2_pos_20_neg_20_noise_0_1.las;CMP;0.5;0.1;1;20;20;2;1;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos50_20260704_112450/CMP_partial_0.5/ilasp_task_iter_2_pos_20_neg_20_noise_0_1.lp;100;100;0;0;100;100;0.0;100;0;100;0.0;0.5;0.2727
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos50_20260704_112450/CMP_partial_0.5/ilasp_task_iter_2_pos_30_neg_30_noise_0_1.las;CMP;0.5;0.1;1;30;30;2;1;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos50_20260704_112450/CMP_partial_0.5/ilasp_task_iter_2_pos_30_neg_30_noise_0_1.lp;100;100;95;0;100;5;0.9511897312113418;100;5;95;0.9;0.95;0.2721
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos50_20260704_112450/CMP_partial_0.5/ilasp_task_iter_2_pos_40_neg_40_noise_0_1.las;CMP;0.5;0.1;1;40;40;2;1;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos50_20260704_112450/CMP_partial_0.5/ilasp_task_iter_2_pos_40_neg_40_noise_0_1.lp;100;100;100;4;96;0;0.9607689228305227;100;10;90;0.9045340337332908;0.95;0.2717
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos50_20260704_112450/CMP_partial_0.5/ilasp_task_iter_2_pos_60_neg_60_noise_0_1.las;CMP;0.5;0.1;1;60;60;2;1;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos50_20260704_112450/CMP_partial_0.5/ilasp_task_iter_2_pos_60_neg_60_noise_0_1.lp;100;100;95;2;98;5;0.9304187826995326;100;2;98;0.9304187826995326;0.965;0.2697
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos50_20260704_112450/CMP_partial_0.5/ilasp_task_iter_2_pos_80_neg_80_noise_0_1.las;CMP;0.5;0.1;1;80;80;2;1;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos50_20260704_112450/CMP_partial_0.5/ilasp_task_iter_2_pos_80_neg_80_noise_0_1.lp;100;100;100;0;100;0;1.0;100;8;92;0.9229582069908971;0.96;0.2558
