ILASP_TASK_FILENAME;NFILES_POS;NFILES_NEG;NOISE;NEGATIVE_POLICY;NEGATIVE_FLIP_K;P_PARTIAL;TEST_SET_POLICY;TEST_SET_TARGET_PER_CLASS;TEST_SET_POS;TEST_SET_NEG;TEST_SET_SIZE;EVAL_MATCH_POLICY;RUNNING_TIME_ILASP_TRAIN_SECONDS;TEST_LEARNED_TOTAL_SECONDS;TEST_LEARNED_MEAN_SECONDS;TEST_LEARNED_MAX_SECONDS;TEST_ORACLE_TOTAL_SECONDS;TEST_ORACLE_MEAN_SECONDS;TEST_ORACLE_MAX_SECONDS;ANY_TEST_TIMED_OUT;ILASP_TRAIN_TIMED_OUT;ILASP_TRAIN_SUCCEEDED;ILASP_TRAIN_EXIT_CODE;ILASP_TRAIN_RETRIES_USED;TRAIN_TIMEOUT_SECONDS;TEST_TIMEOUT_SECONDS;LEARNED_MODEL_FILENAME;LEARNED_HEURISTIC_RULES;LEARNED_HAS_HEURISTIC;SYNTH_NEG_TOTAL;SYNTH_NEG_ORACLE_LEGAL;SYNTH_NEG_ORACLE_LEGAL_RATE;SYNTH_NEG_ORACLE_REJECT_RATE;TP;FP;TN;FN;PRECISION;RECALL;F1;MCC;ACCURACY;RUN_SEED;ITERATION;TEST_FULL_SET_POS;TEST_FULL_SET_NEG;TP_FULL;FP_FULL;TN_FULL;FN_FULL;MCC_FULL;ACCURACY_FULL;TEST_FULL_TOTAL_SECONDS;ILASP_TRAIN_UNSAT;ILASP_TRAIN_ERROR
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos50_20260705_025227/PRF_partial_0.75/ilasp_task_iter_1_pos_10_neg_10_noise_0_2.las;10;10;0.2;oracle_neg;1;0.75;grouped_kfold;100;100;100;200;full_exact_model;85.545905292;0.19860853999999506;0.0009930426999999753;0.0020598339999935433;0.12088516199986543;0.0006044258099993272;0.000817707999999584;0;0;1;0;0;3500;20;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos50_20260705_025227/PRF_partial_0.75/ilasp_task_iter_1_pos_10_neg_10_noise_0_2.lp;0;0;0;0;0.0;0.0;87;20;80;13;0.8130841121495327;0.87;0.8405797101449274;0.6716475572513402;0.835;5902946668794039004;1;100;100;97;12;88;3;0.8534635553593637;0.925;0.303;0;0
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos50_20260705_025227/PRF_partial_0.75/ilasp_task_iter_1_pos_20_neg_20_noise_0_2.las;20;20;0.2;oracle_neg;1;0.75;grouped_kfold;100;100;100;200;full_exact_model;99.24490487500002;0.1736178339997423;0.0008680891699987115;0.0012833750000140753;0.1308498730002441;0.0006542493650012204;0.0011624999999924057;0;0;1;0;0;3500;20;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos50_20260705_025227/PRF_partial_0.75/ilasp_task_iter_1_pos_20_neg_20_noise_0_2.lp;0;0;0;0;0.0;0.0;97;4;96;3;0.9603960396039604;0.97;0.9651741293532338;0.9300465034877906;0.965;6631267956151272885;1;100;100;97;0;100;3;0.9704367948586523;0.985;0.291;0;0
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos50_20260705_025227/PRF_partial_0.75/ilasp_task_iter_1_pos_30_neg_30_noise_0_2.las;30;30;0.2;oracle_neg;1;0.75;grouped_kfold;100;100;100;200;full_exact_model;123.24024879200002;0.1742859879998946;0.000871429939999473;0.001480833000016446;0.12365912500007425;0.0006182956250003713;0.0009264580000376554;0;0;1;0;0;3500;20;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos50_20260705_025227/PRF_partial_0.75/ilasp_task_iter_1_pos_30_neg_30_noise_0_2.lp;0;0;0;0;0.0;0.0;79;6;94;21;0.9294117647058824;0.79;0.8540540540540541;0.7383537366392935;0.865;10578249416822736103;1;100;100;97;4;96;3;0.9300465034877906;0.965;0.289;0;0
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos50_20260705_025227/PRF_partial_0.75/ilasp_task_iter_1_pos_40_neg_40_noise_0_2.las;40;40;0.2;oracle_neg;1;0.75;grouped_kfold;100;100;100;200;full_exact_model;117.08298862499998;0.1639822860000777;0.0008199114300003885;0.0013812079999979687;0.12262254700027597;0.0006131127350013798;0.0008087499999760439;0;0;1;0;0;3500;20;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos50_20260705_025227/PRF_partial_0.75/ilasp_task_iter_1_pos_40_neg_40_noise_0_2.lp;0;0;0;0;0.0;0.0;79;3;97;21;0.9634146341463414;0.79;0.8681318681318682;0.7726194953941324;0.88;7311492267786967245;1;100;100;97;2;98;3;0.9500475035627969;0.975;0.283;0;0
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos50_20260705_025227/PRF_partial_0.75/ilasp_task_iter_1_pos_60_neg_60_noise_0_2.las;60;60;0.2;oracle_neg;1;0.75;grouped_kfold;100;100;100;200;full_exact_model;994.1910872079999;0.19260320999774194;0.0009630160499887097;0.00198974999989332;0.11772732900203664;0.0005886366450101832;0.000895416000048499;0;0;1;0;0;3500;20;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos50_20260705_025227/PRF_partial_0.75/ilasp_task_iter_1_pos_60_neg_60_noise_0_2.lp;0;0;0;0;0.0;0.0;69;9;91;31;0.8846153846153846;0.69;0.7752808988764044;0.6150692760785472;0.8;927140318429461708;1;100;100;98;8;92;2;0.9016243871634686;0.95;0.301;0;0
/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train/final_synthetic_v2_pos50_20260705_025227/PRF_partial_0.75/ilasp_task_iter_1_pos_80_neg_80_noise_0_2.las;80;80;0.2;oracle_neg;1;0.75;grouped_kfold;100;100;100;200;full_exact_model;354.558041583;0.16473162900069838;0.0008236581450034919;0.001670832999934646;0.1248692960000426;0.000624346480000213;0.0009822089998579031;0;0;1;0;0;3500;20;/Users/fdasaro/Desktop/Zlatina/FabioExperimentsMacM4_claude/artifacts/final_synthetic_v2/train_output/final_synthetic_v2_pos50_20260705_025227/PRF_partial_0.75/ilasp_task_iter_1_pos_80_neg_80_noise_0_2.lp;0;0;0;0;0.0;0.0;97;0;100;3;1.0;0.97;0.9847715736040609;0.9704367948586523;0.985;10639028479664022864;1;100;100;97;0;100;3;0.9704367948586523;0.985;0.279;0;0
